,countryname,year,exchange rate (to $USD)
1657,Germany,2015,0.90129644
1658,"Egypt, Arab Rep",2015,7.6912584
1659,Spain,2015,0.90129644
1660,France,2015,0.90129644
1661,United Kingdom,2015,0.65454549
1662,Indonesia,2015,13389.413
1663,India,2015,64.151947
1664,"Iran, Islamic Rep",2015,29011.492
1665,Italy,2015,0.90129644
1666,Japan,2015,121.04403
1667,"Korea, Rep",2015,1130.9525
1668,Mexico,2015,15.848267
1669,Malaysia,2015,3.9055002
1670,Netherlands,2015,0.90129644
1671,Philippines,2015,45.502838
1672,Russian Federation,2015,60.937649
1673,Saudi Arabia,2015,3.75
1674,Singapore,2015,1.374825
1675,Thailand,2015,34.247715
1676,Turkey,2015,2.7200086
1677,United States,2015,1.0
1678,Vietnam,2015,21697.568
1679,South Africa,2015,12.758931
1680,United Arab Emirates,2016,3.6724999
1681,Argentina,2016,14.758175
1682,Australia,2016,1.345214
1683,Brazil,2016,3.4913135
1684,Canada,2016,1.3256152
1685,Switzerland,2016,0.98539442
1686,China,2016,6.6444778
1687,Germany,2016,0.90342146
1688,"Egypt, Arab Rep",2016,10.025401
1689,Spain,2016,0.90342146
1690,France,2016,0.90342146
1691,United Kingdom,2016,0.74063444
1692,Indonesia,2016,13308.327
1693,India,2016,67.195313
1694,"Iran, Islamic Rep",2016,30914.852
1695,Italy,2016,0.90342146
1696,Japan,2016,108.7929
1697,"Korea, Rep",2016,1160.7675
1698,Mexico,2016,18.664059
1699,Malaysia,2016,4.1483006
1700,Netherlands,2016,0.90342146
1701,Philippines,2016,47.492462
1702,Russian Federation,2016,67.055931
1703,Saudi Arabia,2016,3.75
1704,Singapore,2016,1.3815464
1705,Thailand,2016,35.296383
1706,Turkey,2016,3.0201347
1707,United States,2016,1.0
1708,Vietnam,2016,21935.0
1709,South Africa,2016,14.709611
1710,United Arab Emirates,2017,3.6724999
1711,Argentina,2017,16.562706
1712,Australia,2017,1.3047581
1713,Brazil,2017,3.1913896
1714,Canada,2017,1.2979358
1715,Switzerland,2017,0.98469168
1716,China,2017,6.7587552
1717,Germany,2017,0.88520551
1718,"Egypt, Arab Rep",2017,17.782534
1719,Spain,2017,0.88520551
1720,France,2017,0.88520551
