,countryname,year,general government final consumption expenditure (Current $USD)
1642,Russian Federation,2014,371226373305.679
1643,Saudi Arabia,2014,197108217821.486
1644,Singapore,2014,30323415673.5854
1645,Thailand,2014,68907012974.2178
1646,Turkey,2014,131640968425.862
1647,United States,2014,2566254000000.0
1648,Vietnam,2014,24086266313.5994
1649,South Africa,2014,73624988316.5505
1650,United Arab Emirates,2015,44511095983.6624
1651,Argentina,2015,107639984288.54
1652,Australia,2015,257946584574.424
1653,Brazil,2015,356420691845.261
1654,Canada,2015,324965188724.922
1655,Switzerland,2015,80084350929.605
1656,China,2015,1793950153875.55
1657,Germany,2015,661167607626.562
1658,"Egypt, Arab Rep",2015,38733153638.814
1659,Spain,2015,233460373906.641
1660,France,2015,580719046953.125
1661,United Kingdom,2015,572469006449.675
1662,Indonesia,2015,83928241330.1856
1663,India,2015,219368252547.408
1664,"Iran, Islamic Rep",2015,63553947570.1797
1665,Italy,2015,350987745871.875
1666,Japan,2015,871995122465.117
1667,"Korea, Rep",2015,221090343298.789
1668,Mexico,2015,144341228964.621
1669,Malaysia,2015,39436947893.9957
1670,Netherlands,2015,191228984750.781
1671,Philippines,2015,33438304752.6746
1672,Russian Federation,2015,242227717816.721
1673,Saudi Arabia,2015,196303783007.934
1674,Singapore,2015,31388420133.8377
1675,Thailand,2015,68706570076.2387
1676,Turkey,2015,119320406911.765
1677,United States,2015,2608983000000.0
1678,Vietnam,2015,25492765951.7593
1679,South Africa,2015,65823101021.9047
1680,United Arab Emirates,2016,44725287978.2165
1681,Argentina,2016,98429812727.8394
1682,Australia,2016,239729218226.816
1683,Brazil,2016,365951078366.225
1684,Canada,2016,321612947451.906
1685,Switzerland,2016,79210899164.712
1686,China,2016,1838185914067.27
1687,Germany,2016,690542613848.64
